No,Case
1,السلام عليكم لوسمحت فى وحد بعالى شقة وتلع بيعها لى وحد تانى اعمل ايه لوسمحت ساعدنى وقولى اعمل ايه
2,في  محامي كويس اوي شغال في جميع  التخصصات  جنائي ومدني واسره وشركات وكتابه عقود لو حد عايز المستشار احمد   الجيزه  بشتيل  عند سلم ابو اسلام  وده رقمه  01116815246
3,استشارة ربنا ينفع بكم تم تخصيص أرض تابعة لهيئة المجتمعات العمرانية الجديدة ( جهاز المدينة ) لإقامة مسجد  تم بدأ الانشاء من حوالي سنتين علي نفقة متبرعو لكن المتبرع يريد ضمه لأحد الجمعيات الخيرية مثل الجمعية الشرعية أو أنصار السنة أى جمعية اهليه تشرف عليه بحيث يكون فى اهتمام و توفير أنشطة و خدمات لاهل المنطقة ( مستوصف طبي ، دار حضانة ، دار تحفيظ قران كريم )و لكن التخصيص منصوص فيه أن ( أن المبني مقام لاداء الشعائر الدينية فقط ولا يسمح باي انشطة او خدمات )  ( أن بعد الانتهاء يتم تسليم المبني الي هيئة الأوقاف ) ⁦ السؤال  هل ينفع تعديل التخصيص مع الجهاز بحيث يكون في سماح بأنشطة و خدمات تابعة للجمعيات و الجمعية هي الي تشرف علي المبني كله مصلي و ملحقاته؟جزاكم الله خير
4,شخص مضى على ايصال امانة و حان أجل التسديد و استلام الوصل لكن الدائن رافض استلام المبلغ و تسليم المبلغ ؛ ما الاجراء الصحيح لإبراء الذمة حتى لا يقوم الدائن برفع ايصال الامانة امام المحاكم .. شكرا
5,سلامعندي سؤال بربيعندي ligne w adsl topnet و نحب نقصها، شنوة لازمني نعمل بالضبط ، و هل إنجم نفضها لحكاية a distance ولا لا ؟  شكرا
6,سؤال لو بنك ناصر حجز علي أرض عليها نزاع من زمان عشان عقد ابتدائي غير موثق وبيقولو حكم نهائي وهيبقي عليها مزاد هل فيه امكانيه للطعن أو الاستئناف ؟
7,نصيحه لكل المتقاضين لو عندك دعوى عاوز ترفعها ومأجل رفعها روح لزميل قريب منك يرفعها لك فى أقرب وقت لان لو اتطبق موضوع الفاتوره الالكترونيه الاتعاب هتزيد جدا وده غصب عننا طبعا
8,السلام عليكم شكون عارف الإجراءات لي خاص دار لي بغا تغيير الإسم واش كيكونو معقدين وطوال ولا لا لي عندو تجربة افيدني وشكرا
9,السلام عليكم ياشباب. أرجوا النصيحة منكم.. سيدة مطلقة وحاضنه لطفلة عمرها ٤ سنوات. وطليقها يرى ابنته يوم الجمعة من كل أسبوع (حكم رؤية). الأن يريد أحد الرجال الزواج من الأخت. وهى تريد ذلك بشده ولكن تخشى خسارة حضانه ابنتها حال علم والد طفلتها بزواجها وهى متعلقه بها ولا تقدر ابدا على تركها. هل هناك حلآ يسمح لها بالزواج دون علم طليقها وتظل حاضنة لابنتها؟. مع العلم ان ام الاخت لا تستطيع ان تكون حاضنه لانها معاقة لا تتحرك. وأيضاً ترغب في الانجاب مره اخرى. هل يوجد حلآ لها يسمح لها بالزواج وان تكون حاضنه لابنتها وتستطيع ان تسجل اولادها فى المستقبل اذا مَن الله عليها بالذرية؟. شكرآ لكم
10,خطأ في إعلان المدعى عليه ولم يحضر أي جلسة ثم تغيب المدعى إحدى الجلسات وشطبت الدعوى ثم جددت وأعلن المدعى عليه باعادتها بشكل صحيح هذه المرة حتى صدر الحكم، هل يمكن رفع دعوى إبطال للخطأ في الإعلان الأول؟
